iter	CrossEntropy
0	0.6877080527
1	0.6828072953
2	0.6777396763
3	0.67283676
4	0.6679288403
5	0.6632194485
6	0.6586625756
7	0.6538598329
8	0.6490834183
9	0.6446170402
10	0.6402135959
11	0.6356385666
12	0.6313401052
13	0.6271483355
14	0.6232615555
15	0.6193204857
16	0.6154020129
17	0.6113276239
18	0.6073918779
19	0.60323509
20	0.5993992935
21	0.5954436778
22	0.5918797947
23	0.5882123462
24	0.5844365947
25	0.5808492202
26	0.5774466444
27	0.574189846
28	0.5705564636
29	0.5672112449
30	0.563951457
31	0.5605930665
32	0.5572357017
33	0.5538654995
34	0.5507682632
35	0.5477159767
36	0.5447328824
37	0.5417633205
38	0.5388948894
39	0.5358898983
40	0.5330559062
41	0.5303224418
42	0.5276077291
43	0.5248631725
44	0.5221852413
45	0.5195651947
46	0.5168965925
47	0.5142732147
48	0.5117387508
49	0.5092677085
50	0.5067828133
51	0.5043760329
52	0.5017809759
53	0.4995136118
54	0.4969860458
55	0.4948083595
56	0.4923358208
57	0.4900674979
58	0.4879092391
59	0.485687163
60	0.4835232055
61	0.4814931185
62	0.4794912811
63	0.4775564175
64	0.4753834157
65	0.4731183447
66	0.4709429812
67	0.4690043261
68	0.4671105767
69	0.4651809533
70	0.4632564854
71	0.4613917788
72	0.4594176847
73	0.4574712954
74	0.455539495
75	0.4534185909
76	0.4515793784
77	0.4498581305
78	0.4480989554
79	0.4463277804
80	0.4444432256
81	0.4426329952
82	0.4409298756
83	0.4393903183
84	0.4377978287
85	0.4361625794
86	0.4344270087
87	0.4328874059
88	0.4314084251
89	0.4297906263
90	0.4281437414
91	0.4266910253
92	0.4250054014
93	0.4233520422
94	0.421932918
95	0.4204341092
96	0.4189088641
97	0.4173674123
98	0.4159145801
99	0.41436356
100	0.4129855553
101	0.4116096885
102	0.4102504092
103	0.4087564631
104	0.4075354269
105	0.4061672767
106	0.4047003672
107	0.4033147324
108	0.401843285
109	0.4005165404
110	0.3992517972
111	0.3980672748
112	0.3968395665
113	0.3953069329
114	0.3941388634
115	0.3928689273
116	0.3916308232
